Symbol,Name,数据类型,寄存器,地址,归档,量程,报警类型,报警,函数,函数参数,依赖,DriverID,IOType,GroupID,单位
采水时间,采水时间,WDATE,,,FALSE,,NONE,,NONE,,,0,SQL,,
水样时间,水样时间,WDATE,,,FALSE,,NONE,,NONE,,,0,SQL,,
五参数小时测量,五参数小时测量,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
开启日质控,开启日质控,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
零点核查时间,零点核查时间,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,时
跨度核查时间,跨度核查时间,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,时
TP命令,TP命令,INT,,,FALSE,,NONE,,NONE,,,0,RAM,,
TP试剂余量,TP试剂次数,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,次(组)
TP加标回收率,TP加标回收率,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,%
TP_C标,TP_C标,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP_V1,TP_V1,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP_V3,TP_V3,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP跨度值,跨度核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP标样核查标样浓度,标样核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP量程漂移标样浓度,量程漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP零点漂移标样浓度,零点漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP水样测试标样浓度,水样测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP空白测试标样浓度,空白测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TP告警自动复位,告警自动复位,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN命令,TN命令,INT,,,FALSE,,NONE,,NONE,,,0,RAM,,
TN试剂余量,TN试剂次数,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,次(组)
TN加标回收率,TN加标回收率,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,%
TN_C标,TN_C标,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN_V1,TN_V1,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN_V3,TN_V3,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN跨度值,跨度核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN标样核查标样浓度,标样核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN量程漂移标样浓度,量程漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN零点漂移标样浓度,零点漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN水样测试标样浓度,水样测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN空白测试标样浓度,空白测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
TN告警自动复位,告警自动复位,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD命令,COD命令,INT,,,FALSE,,NONE,,NONE,,,0,RAM,,
COD试剂余量,COD试剂次数,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,次(组)
COD加标回收率,COD加标回收率,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,%
COD_C标,COD_C标,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD_V1,COD_V1,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD_V3,COD_V3,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD跨度值,跨度核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD标样核查标样浓度,标样核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD量程漂移标样浓度,量程漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD零点漂移标样浓度,零点漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD水样测试标样浓度,水样测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD空白测试标样浓度,空白测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
COD告警自动复位,告警自动复位,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3命令,NH3命令,INT,,,FALSE,,NONE,,NONE,,,0,RAM,,
NH3试剂余量,NH3试剂次数,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,次(组)
NH3加标回收率,NH3加标回收率,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,%
NH3_C标,NH3_C标,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3_V1,NH3_V1,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3_V3,NH3_V3,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3跨度值,跨度核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3标样核查标样浓度,标样核查标液,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3量程漂移标样浓度,量程漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3零点漂移标样浓度,零点漂移标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3水样测试标样浓度,水样测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3空白测试标样浓度,空白测试标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3告警自动复位,告警自动复位,BOOL,,,FALSE,,NONE,,NONE,,,0,SQL,,
自动控制间隔小时数,自动控制间隔小时数,INT,,,FALSE,,NONE,,NONE,,,0,SQL,,
NH3子流程,子流程,STRING,,,FALSE,,NONE,,NONE,,,0,RAM,,
TN子流程,子流程,STRING,,,FALSE,,NONE,,NONE,,,0,RAM,,
TP子流程,子流程,STRING,,,FALSE,,NONE,,NONE,,,0,RAM,,
COD子流程,子流程,STRING,,,FALSE,,NONE,,NONE,,,0,RAM,,
PH标样浓度,PH标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
浊度标样浓度,浊度标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
电导率标样浓度,电导率标样浓度,FLOAT,,,FALSE,,NONE,,NONE,,,0,SQL,,
